starting
Job is running on node c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_xi_uchuu_all_Msatmocks_covglam4.h5
Condition number: 2821.379804947389
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for xi built with train_tag _George_log_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 792
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 1 | bound: 0 | nc: 1 | ncall: 973 | eff(%):  0.103 | loglstar:   -inf < -2727.549 <    inf | logz: -2735.122 +/-  0.125 | dlogz:    inf >  0.010                                                
iter: 2 | bound: 0 | nc: 1 | ncall: 974 | eff(%):  0.205 | loglstar:   -inf < -1937.719 <    inf | logz: -1945.293 +/-  0.125 | dlogz: 2732.831 >  0.010                                              
iter: 3 | bound: 0 | nc: 1 | ncall: 975 | eff(%):  0.308 | loglstar:   -inf < -1361.469 <    inf | logz: -1369.044 +/-  0.125 | dlogz: 1943.001 >  0.010                                              
iter: 4 | bound: 0 | nc: 1 | ncall: 976 | eff(%):  0.410 | loglstar:   -inf < -1288.452 <    inf | logz: -1296.028 +/-  0.125 | dlogz: 1366.751 >  0.010                                              
iter: 5 | bound: 0 | nc: 1 | ncall: 977 | eff(%):  0.512 | loglstar:   -inf < -1146.607 <    inf | logz: -1154.185 +/-  0.125 | dlogz: 1293.734 >  0.010                                              
iter: 6 | bound: 0 | nc: 1 | ncall: 978 | eff(%):  0.613 | loglstar:   -inf < -1043.606 <    inf | logz: -1051.184 +/-  0.125 | dlogz: 1151.890 >  0.010                                              
iter: 7 | bound: 0 | nc: 1 | ncall: 979 | eff(%):  0.715 | loglstar:   -inf < -1039.751 <    inf | logz: -1047.289 +/-  0.123 | dlogz: 1048.888 >  0.010                                              
iter: 8 | bound: 0 | nc: 1 | ncall: 980 | eff(%):  0.816 | loglstar:   -inf < -972.101 <    inf | logz: -979.681 +/-  0.125 | dlogz: 1044.992 >  0.010                                                
iter: 9 | bound: 0 | nc: 1 | ncall: 981 | eff(%):  0.917 | loglstar:   -inf < -961.699 <    inf | logz: -969.281 +/-  0.125 | dlogz: 977.383 >  0.010                                                 
iter: 10 | bound: 0 | nc: 1 | ncall: 982 | eff(%):  1.018 | loglstar:   -inf < -955.464 <    inf | logz: -963.043 +/-  0.125 | dlogz: 966.982 >  0.010                                                
iter: 11 | bound: 0 | nc: 1 | ncall: 983 | eff(%):  1.119 | loglstar:   -inf < -912.889 <    inf | logz: -920.473 +/-  0.125 | dlogz: 960.743 >  0.010                                                
iter: 12 | bound: 0 | nc: 1 | ncall: 984 | eff(%):  1.220 | loglstar:   -inf < -843.471 <    inf | logz: -851.056 +/-  0.125 | dlogz: 918.171 >  0.010                                                
iter: 13 | bound: 0 | nc: 1 | ncall: 985 | eff(%):  1.320 | loglstar:   -inf < -837.259 <    inf | logz: -844.841 +/-  0.125 | dlogz: 848.753 >  0.010                                                
iter: 14 | bound: 0 | nc: 1 | ncall: 986 | eff(%):  1.420 | loglstar:   -inf < -835.446 <    inf | logz: -842.750 +/-  0.119 | dlogz: 842.537 >  0.010                                                
iter: 15 | bound: 0 | nc: 1 | ncall: 987 | eff(%):  1.520 | loglstar:   -inf < -789.882 <    inf | logz: -797.470 +/-  0.125 | dlogz: 840.445 >  0.010                                                
iter: 16 | bound: 0 | nc: 1 | ncall: 988 | eff(%):  1.619 | loglstar:   -inf < -697.103 <    inf | logz: -704.691 +/-  0.125 | dlogz: 795.165 >  0.010                                                
iter: 17 | bound: 0 | nc: 1 | ncall: 989 | eff(%):  1.719 | loglstar:   -inf < -671.437 <    inf | logz: -679.027 +/-  0.125 | dlogz: 702.385 >  0.010                                                
iter: 18 | bound: 0 | nc: 1 | ncall: 990 | eff(%):  1.818 | loglstar:   -inf < -629.074 <    inf | logz: -636.665 +/-  0.125 | dlogz: 676.720 >  0.010                                                
iter: 19 | bound: 0 | nc: 1 | ncall: 991 | eff(%):  1.917 | loglstar:   -inf < -587.034 <    inf | logz: -594.626 +/-  0.125 | dlogz: 634.356 >  0.010                                                
iter: 20 | bound: 0 | nc: 1 | ncall: 992 | eff(%):  2.016 | loglstar:   -inf < -466.247 <    inf | logz: -473.841 +/-  0.125 | dlogz: 592.316 >  0.010                                                
iter: 21 | bound: 0 | nc: 1 | ncall: 993 | eff(%):  2.115 | loglstar:   -inf < -458.503 <    inf | logz: -466.096 +/-  0.125 | dlogz: 471.530 >  0.010                                                
iter: 22 | bound: 0 | nc: 1 | ncall: 994 | eff(%):  2.213 | loglstar:   -inf < -440.544 <    inf | logz: -448.140 +/-  0.125 | dlogz: 463.784 >  0.010                                                
iter: 23 | bound: 0 | nc: 1 | ncall: 995 | eff(%):  2.312 | loglstar:   -inf < -439.979 <    inf | logz: -446.816 +/-  0.116 | dlogz: 445.827 >  0.010                                                
iter: 24 | bound: 0 | nc: 1 | ncall: 996 | eff(%):  2.410 | loglstar:   -inf < -428.780 <    inf | logz: -436.377 +/-  0.125 | dlogz: 444.502 >  0.010                                                
iter: 25 | bound: 0 | nc: 1 | ncall: 997 | eff(%):  2.508 | loglstar:   -inf < -425.775 <    inf | logz: -433.278 +/-  0.122 | dlogz: 434.063 >  0.010                                                
iter: 26 | bound: 0 | nc: 1 | ncall: 998 | eff(%):  2.605 | loglstar:   -inf < -422.667 <    inf | logz: -430.177 +/-  0.122 | dlogz: 430.963 >  0.010                                                
iter: 27 | bound: 0 | nc: 1 | ncall: 999 | eff(%):  2.703 | loglstar:   -inf < -420.329 <    inf | logz: -427.745 +/-  0.120 | dlogz: 427.860 >  0.010                                                
iter: 28 | bound: 0 | nc: 1 | ncall: 1000 | eff(%):  2.800 | loglstar:   -inf < -387.508 <    inf | logz: -395.110 +/-  0.125 | dlogz: 425.428 >  0.010                                               
iter: 29 | bound: 0 | nc: 1 | ncall: 1001 | eff(%):  2.897 | loglstar:   -inf < -385.253 <    inf | logz: -392.665 +/-  0.120 | dlogz: 392.791 >  0.010                                               
iter: 30 | bound: 0 | nc: 1 | ncall: 1002 | eff(%):  2.994 | loglstar:   -inf < -384.320 <    inf | logz: -391.298 +/-  0.115 | dlogz: 390.345 >  0.010                                               
iter: 31 | bound: 0 | nc: 1 | ncall: 1003 | eff(%):  3.091 | loglstar:   -inf < -383.985 <    inf | logz: -390.473 +/-  0.111 | dlogz: 388.977 >  0.010                                               
iter: 32 | bound: 0 | nc: 1 | ncall: 1004 | eff(%):  3.187 | loglstar:   -inf < -378.223 <    inf | logz: -385.816 +/-  0.124 | dlogz: 388.151 >  0.010                                               
iter: 33 | bound: 0 | nc: 1 | ncall: 1005 | eff(%):  3.284 | loglstar:   -inf < -336.308 <    inf | logz: -343.914 +/-  0.125 | dlogz: 383.493 >  0.010                                               
iter: 34 | bound: 0 | nc: 1 | ncall: 1006 | eff(%):  3.380 | loglstar:   -inf < -331.657 <    inf | logz: -339.245 +/-  0.124 | dlogz: 341.590 >  0.010                                               
iter: 35 | bound: 0 | nc: 1 | ncall: 1007 | eff(%):  3.476 | loglstar:   -inf < -329.673 <    inf | logz: -337.036 +/-  0.119 | dlogz: 336.920 >  0.010                                               
iter: 36 | bound: 0 | nc: 1 | ncall: 1008 | eff(%):  3.571 | loglstar:   -inf < -325.461 <    inf | logz: -333.038 +/-  0.124 | dlogz: 334.710 >  0.010                                               
iter: 37 | bound: 0 | nc: 1 | ncall: 1009 | eff(%):  3.667 | loglstar:   -inf < -316.866 <    inf | logz: -324.476 +/-  0.125 | dlogz: 330.711 >  0.010                                               
iter: 38 | bound: 0 | nc: 1 | ncall: 1010 | eff(%):  3.762 | loglstar:   -inf < -308.824 <    inf | logz: -316.435 +/-  0.125 | dlogz: 322.148 >  0.010                                               
iter: 39 | bound: 0 | nc: 1 | ncall: 1011 | eff(%):  3.858 | loglstar:   -inf < -306.633 <    inf | logz: -314.043 +/-  0.120 | dlogz: 314.106 >  0.010                                               
iter: 40 | bound: 0 | nc: 1 | ncall: 1012 | eff(%):  3.953 | loglstar:   -inf < -304.796 <    inf | logz: -312.106 +/-  0.118 | dlogz: 311.713 >  0.010                                               
iter: 41 | bound: 0 | nc: 1 | ncall: 1013 | eff(%):  4.047 | loglstar:   -inf < -288.216 <    inf | logz: -295.831 +/-  0.125 | dlogz: 309.775 >  0.010                                               
iter: 42 | bound: 0 | nc: 1 | ncall: 1014 | eff(%):  4.142 | loglstar:   -inf < -271.766 <    inf | logz: -279.381 +/-  0.125 | dlogz: 293.499 >  0.010                                               
iter: 43 | bound: 0 | nc: 1 | ncall: 1015 | eff(%):  4.236 | loglstar:   -inf < -265.007 <    inf | logz: -272.621 +/-  0.125 | dlogz: 277.048 >  0.010                                               
iter: 44 | bound: 0 | nc: 1 | ncall: 1016 | eff(%):  4.331 | loglstar:   -inf < -264.020 <    inf | logz: -271.080 +/-  0.117 | dlogz: 270.287 >  0.010                                               
iter: 45 | bound: 0 | nc: 1 | ncall: 1017 | eff(%):  4.425 | loglstar:   -inf < -263.000 <    inf | logz: -269.930 +/-  0.114 | dlogz: 268.744 >  0.010                                               
iter: 46 | bound: 0 | nc: 2 | ncall: 1019 | eff(%):  4.514 | loglstar:   -inf < -259.420 <    inf | logz: -266.960 +/-  0.122 | dlogz: 267.594 >  0.010                                               
iter: 47 | bound: 0 | nc: 1 | ncall: 1020 | eff(%):  4.608 | loglstar:   -inf < -256.470 <    inf | logz: -263.987 +/-  0.122 | dlogz: 264.623 >  0.010                                               
iter: 48 | bound: 0 | nc: 1 | ncall: 1021 | eff(%):  4.701 | loglstar:   -inf < -256.329 <    inf | logz: -262.910 +/-  0.115 | dlogz: 261.649 >  0.010                                               
iter: 49 | bound: 0 | nc: 1 | ncall: 1022 | eff(%):  4.795 | loglstar:   -inf < -253.633 <    inf | logz: -261.026 +/-  0.118 | dlogz: 260.570 >  0.010                                               
iter: 50 | bound: 0 | nc: 1 | ncall: 1023 | eff(%):  4.888 | loglstar:   -inf < -249.893 <    inf | logz: -257.464 +/-  0.123 | dlogz: 258.686 >  0.010                                               
iter: 51 | bound: 0 | nc: 1 | ncall: 1024 | eff(%):  4.980 | loglstar:   -inf < -244.825 <    inf | logz: -252.437 +/-  0.125 | dlogz: 255.123 >  0.010                                               
iter: 52 | bound: 0 | nc: 1 | ncall: 1025 | eff(%):  5.073 | loglstar:   -inf < -244.577 <    inf | logz: -251.259 +/-  0.116 | dlogz: 250.095 >  0.010                                               
iter: 53 | bound: 0 | nc: 1 | ncall: 1026 | eff(%):  5.166 | loglstar:   -inf < -240.938 <    inf | logz: -248.475 +/-  0.122 | dlogz: 248.915 >  0.010                                               
iter: 54 | bound: 0 | nc: 1 | ncall: 1027 | eff(%):  5.258 | loglstar:   -inf < -239.883 <    inf | logz: -246.963 +/-  0.116 | dlogz: 246.131 >  0.010                                               
iter: 55 | bound: 0 | nc: 1 | ncall: 1028 | eff(%):  5.350 | loglstar:   -inf < -239.678 <    inf | logz: -246.136 +/-  0.112 | dlogz: 244.618 >  0.010                                               
iter: 56 | bound: 0 | nc: 1 | ncall: 1029 | eff(%):  5.442 | loglstar:   -inf < -239.635 <    inf | logz: -245.645 +/-  0.109 | dlogz: 243.790 >  0.010                                               
iter: 57 | bound: 0 | nc: 1 | ncall: 1030 | eff(%):  5.534 | loglstar:   -inf < -234.845 <    inf | logz: -242.427 +/-  0.123 | dlogz: 243.298 >  0.010                                               
iter: 58 | bound: 0 | nc: 1 | ncall: 1031 | eff(%):  5.626 | loglstar:   -inf < -234.043 <    inf | logz: -241.023 +/-  0.116 | dlogz: 240.078 >  0.010                                               
iter: 59 | bound: 0 | nc: 1 | ncall: 1032 | eff(%):  5.717 | loglstar:   -inf < -233.385 <    inf | logz: -240.097 +/-  0.112 | dlogz: 238.673 >  0.010                                               
iter: 60 | bound: 0 | nc: 1 | ncall: 1033 | eff(%):  5.808 | loglstar:   -inf < -232.355 <    inf | logz: -239.176 +/-  0.111 | dlogz: 237.746 >  0.010                                               
iter: 61 | bound: 0 | nc: 1 | ncall: 1034 | eff(%):  5.899 | loglstar:   -inf < -230.465 <    inf | logz: -237.700 +/-  0.115 | dlogz: 236.824 >  0.010                                               
iter: 62 | bound: 0 | nc: 1 | ncall: 1035 | eff(%):  5.990 | loglstar:   -inf < -223.314 <    inf | logz: -230.948 +/-  0.125 | dlogz: 235.348 >  0.010                                               
iter: 63 | bound: 0 | nc: 1 | ncall: 1036 | eff(%):  6.081 | loglstar:   -inf < -222.819 <    inf | logz: -229.658 +/-  0.116 | dlogz: 228.594 >  0.010                                               
iter: 64 | bound: 0 | nc: 1 | ncall: 1037 | eff(%):  6.172 | loglstar:   -inf < -219.934 <    inf | logz: -227.407 +/-  0.120 | dlogz: 227.304 >  0.010                                               
iter: 65 | bound: 0 | nc: 1 | ncall: 1038 | eff(%):  6.262 | loglstar:   -inf < -213.628 <    inf | logz: -221.264 +/-  0.125 | dlogz: 225.051 >  0.010                                               
iter: 66 | bound: 0 | nc: 1 | ncall: 1039 | eff(%):  6.352 | loglstar:   -inf < -212.651 <    inf | logz: -219.729 +/-  0.117 | dlogz: 218.907 >  0.010                                               
iter: 67 | bound: 0 | nc: 1 | ncall: 1040 | eff(%):  6.442 | loglstar:   -inf < -211.160 <    inf | logz: -218.319 +/-  0.115 | dlogz: 217.371 >  0.010                                               
iter: 68 | bound: 0 | nc: 1 | ncall: 1041 | eff(%):  6.532 | loglstar:   -inf < -210.368 <    inf | logz: -217.228 +/-  0.113 | dlogz: 215.960 >  0.010                                               
iter: 69 | bound: 0 | nc: 1 | ncall: 1042 | eff(%):  6.622 | loglstar:   -inf < -209.956 <    inf | logz: -216.464 +/-  0.110 | dlogz: 214.868 >  0.010                                               
iter: 70 | bound: 0 | nc: 1 | ncall: 1043 | eff(%):  6.711 | loglstar:   -inf < -208.198 <    inf | logz: -215.306 +/-  0.113 | dlogz: 214.103 >  0.010                                               
iter: 71 | bound: 0 | nc: 1 | ncall: 1044 | eff(%):  6.801 | loglstar:   -inf < -207.972 <    inf | logz: -214.466 +/-  0.111 | dlogz: 212.944 >  0.010                                               
iter: 72 | bound: 0 | nc: 1 | ncall: 1045 | eff(%):  6.890 | loglstar:   -inf < -207.896 <    inf | logz: -213.961 +/-  0.108 | dlogz: 212.103 >  0.010                                               
iter: 73 | bound: 0 | nc: 1 | ncall: 1046 | eff(%):  6.979 | loglstar:   -inf < -207.870 <    inf | logz: -213.613 +/-  0.106 | dlogz: 211.597 >  0.010                                               
iter: 74 | bound: 0 | nc: 1 | ncall: 1047 | eff(%):  7.068 | loglstar:   -inf < -207.793 <    inf | logz: -213.343 +/-  0.104 | dlogz: 211.248 >  0.010                                               
iter: 75 | bound: 0 | nc: 1 | ncall: 1048 | eff(%):  7.156 | loglstar:   -inf < -207.265 <    inf | logz: -213.058 +/-  0.103 | dlogz: 210.977 >  0.010                                               
iter: 76 | bound: 0 | nc: 1 | ncall: 1049 | eff(%):  7.245 | loglstar:   -inf < -205.942 <    inf | logz: -212.503 +/-  0.104 | dlogz: 210.691 >  0.010                                               
iter: 77 | bound: 0 | nc: 1 | ncall: 1050 | eff(%):  7.333 | loglstar:   -inf < -204.102 <    inf | logz: -211.264 +/-  0.112 | dlogz: 210.135 >  0.010                                               
iter: 78 | bound: 0 | nc: 1 | ncall: 1051 | eff(%):  7.422 | loglstar:   -inf < -203.191 <    inf | logz: -210.121 +/-  0.112 | dlogz: 208.895 >  0.010                                               
iter: 79 | bound: 0 | nc: 2 | ncall: 1053 | eff(%):  7.502 | loglstar:   -inf < -201.318 <    inf | logz: -208.587 +/-  0.116 | dlogz: 207.751 >  0.010                                               
iter: 80 | bound: 0 | nc: 1 | ncall: 1054 | eff(%):  7.590 | loglstar:   -inf < -198.659 <    inf | logz: -206.154 +/-  0.120 | dlogz: 206.215 >  0.010                                               
iter: 81 | bound: 0 | nc: 1 | ncall: 1055 | eff(%):  7.678 | loglstar:   -inf < -192.831 <    inf | logz: -200.481 +/-  0.125 | dlogz: 203.782 >  0.010                                               
iter: 82 | bound: 0 | nc: 1 | ncall: 1056 | eff(%):  7.765 | loglstar:   -inf < -185.107 <    inf | logz: -192.763 +/-  0.125 | dlogz: 198.108 >  0.010                                               
iter: 83 | bound: 0 | nc: 1 | ncall: 1057 | eff(%):  7.852 | loglstar:   -inf < -183.249 <    inf | logz: -190.635 +/-  0.119 | dlogz: 190.389 >  0.010                                               
iter: 84 | bound: 0 | nc: 1 | ncall: 1058 | eff(%):  7.940 | loglstar:   -inf < -182.982 <    inf | logz: -189.621 +/-  0.114 | dlogz: 188.260 >  0.010                                               
iter: 85 | bound: 0 | nc: 1 | ncall: 1059 | eff(%):  8.026 | loglstar:   -inf < -179.285 <    inf | logz: -186.855 +/-  0.122 | dlogz: 187.245 >  0.010                                               
iter: 86 | bound: 0 | nc: 1 | ncall: 1060 | eff(%):  8.113 | loglstar:   -inf < -178.954 <    inf | logz: -185.697 +/-  0.115 | dlogz: 184.478 >  0.010                                               
iter: 87 | bound: 0 | nc: 2 | ncall: 1062 | eff(%):  8.192 | loglstar:   -inf < -178.526 <    inf | logz: -184.998 +/-  0.111 | dlogz: 183.318 >  0.010                                               
iter: 88 | bound: 0 | nc: 1 | ncall: 1063 | eff(%):  8.278 | loglstar:   -inf < -177.940 <    inf | logz: -184.383 +/-  0.109 | dlogz: 182.619 >  0.010                                               
iter: 89 | bound: 0 | nc: 1 | ncall: 1064 | eff(%):  8.365 | loglstar:   -inf < -177.914 <    inf | logz: -183.914 +/-  0.107 | dlogz: 182.002 >  0.010                                               
iter: 90 | bound: 0 | nc: 1 | ncall: 1065 | eff(%):  8.451 | loglstar:   -inf < -175.901 <    inf | logz: -182.956 +/-  0.111 | dlogz: 181.533 >  0.010                                               
iter: 91 | bound: 0 | nc: 1 | ncall: 1066 | eff(%):  8.537 | loglstar:   -inf < -175.595 <    inf | logz: -182.132 +/-  0.110 | dlogz: 180.574 >  0.010                                               
iter: 92 | bound: 0 | nc: 1 | ncall: 1067 | eff(%):  8.622 | loglstar:   -inf < -174.712 <    inf | logz: -181.388 +/-  0.109 | dlogz: 179.748 >  0.010                                               
iter: 93 | bound: 0 | nc: 1 | ncall: 1068 | eff(%):  8.708 | loglstar:   -inf < -174.590 <    inf | logz: -180.806 +/-  0.108 | dlogz: 179.003 >  0.010                                               
iter: 94 | bound: 0 | nc: 1 | ncall: 1069 | eff(%):  8.793 | loglstar:   -inf < -171.135 <    inf | logz: -178.650 +/-  0.120 | dlogz: 178.420 >  0.010                                               
iter: 95 | bound: 0 | nc: 1 | ncall: 1070 | eff(%):  8.879 | loglstar:   -inf < -169.613 <    inf | logz: -176.896 +/-  0.117 | dlogz: 176.264 >  0.010                                               
iter: 96 | bound: 0 | nc: 1 | ncall: 1071 | eff(%):  8.964 | loglstar:   -inf < -169.577 <    inf | logz: -176.028 +/-  0.113 | dlogz: 174.508 >  0.010                                               
iter: 97 | bound: 0 | nc: 1 | ncall: 1072 | eff(%):  9.049 | loglstar:   -inf < -169.513 <    inf | logz: -175.552 +/-  0.109 | dlogz: 173.639 >  0.010                                               
iter: 98 | bound: 0 | nc: 2 | ncall: 1074 | eff(%):  9.125 | loglstar:   -inf < -166.418 <    inf | logz: -173.846 +/-  0.118 | dlogz: 173.162 >  0.010                                               
iter: 99 | bound: 0 | nc: 1 | ncall: 1075 | eff(%):  9.209 | loglstar:   -inf < -163.335 <    inf | logz: -170.910 +/-  0.122 | dlogz: 171.455 >  0.010                                               
